overall_satisfaction,content_quality,speaker_quality,venue_satisfaction,organization,positive_feedback,improvement_suggestions,general_comments
5,5,5,4,5,발표 내용이 최신 트렌드를 잘 반영했습니다,Wi-Fi 속도가 느렸습니다,전반적으로 만족스러웠습니다
4,4,5,4,4,발표자들의 수준이 높았습니다,점심 시간이 짧았습니다,
5,5,4,5,5,네트워킹 기회가 많았습니다,,매우 유익한 시간이었습니다
4,4,4,3,4,다양한 주제를 다뤘습니다,좌석이 불편했습니다,
3,3,4,4,3,,,보통이었습니다
5,5,5,5,5,모든 것이 완벽했습니다,,내년에도 참석하고 싶습니다
4,5,4,4,5,최신 연구 동향을 알 수 있었습니다,발표 시간 배분이 아쉬웠습니다,
5,4,5,5,4,실용적인 내용이 많았습니다,,감사합니다
4,4,4,4,4,전문성이 높았습니다,주차 공간이 부족했습니다,
5,5,5,4,5,깊이 있는 토론이 좋았습니다,,
3,4,3,3,4,,,
4,4,4,5,4,행사장이 깨끗했습니다,음향 시설 개선이 필요합니다,
5,5,5,5,5,모든 면에서 만족스러웠습니다,,최고의 학회였습니다
4,3,4,4,3,,,
5,5,4,5,5,실무에 바로 적용 가능한 내용들이었습니다,,
4,4,5,4,4,발표자와의 Q&A가 유익했습니다,다과가 부족했습니다,
5,5,5,5,4,체계적인 진행이 좋았습니다,,
4,4,4,3,4,다양한 분야의 전문가들을 만날 수 있었습니다,에어컨이 너무 강했습니다,
5,4,5,5,5,,,훌륭한 학회였습니다
3,3,3,4,3,행사장 위치가 좋았습니다,발표 자료 사전 공유가 필요합니다,
